ZIPCODE;DATETIME;MIN;MAX;COUNT;SUM
**80070-5;2016 W37;1.0;2.0;2.0;3.0
**80150-4;2016 W37;1.0;2.0;2.0;3.0
**80120-3;2016 W37;2.0;3.0;3.0;7.0
**80060-0;2016 W37;1.0;2.0;6.0;7.0
**80100-7;2016 W36;3.0;3.0;1.0;3.0
**80100-7;2016 W37;2.0;2.0;1.0;2.0
**80240-8;2016 W37;1.0;1.0;1.0;1.0
**80170-7;2016 W37;1.0;2.0;2.0;3.0
**80050-6;2016 W37;2.0;2.0;1.0;2.0
**80180-2;2016 W37;2.0;6.0;2.0;8.0
**80050-3;2016 W37;1.0;2.0;5.0;8.0
**80030-4;2016 W37;1.0;2.0;6.0;11.0
**80110-5;2016 W36;4.0;4.0;1.0;4.0
**80030-7;2016 W36;2.0;2.0;1.0;2.0
**80030-7;2016 W37;3.0;4.0;4.0;13.0
**80010-1;2016 W37;1.0;1.0;1.0;1.0
**80050-9;2016 W37;4.0;4.0;1.0;4.0
**80130-8;2016 W37;1.0;3.0;6.0;10.0
**80150-7;2016 W37;1.0;2.0;3.0;4.0
**80070-3;2016 W37;3.0;3.0;1.0;3.0
**80010-7;2016 W37;2.0;2.0;1.0;2.0
**80220-8;2016 W37;1.0;1.0;4.0;4.0
**80070-6;2016 W36;2.0;2.0;1.0;2.0
**80070-6;2016 W37;1.0;3.0;6.0;12.0
**80000-0;2016 W37;3.0;3.0;1.0;3.0
**80200-9;2016 W37;2.0;2.0;5.0;10.0
**80180-4;2016 W37;1.0;2.0;3.0;5.0
**80110-3;2016 W37;2.0;3.0;2.0;5.0
**80040-4;2016 W37;2.0;6.0;3.0;12.0
**80180-4;2016 W37;2.0;2.0;1.0;2.0
**80180-5;2016 W37;2.0;2.0;1.0;2.0
**80000-9;2016 W37;1.0;2.0;7.0;13.0
**80010-1;2016 W37;2.0;6.0;3.0;10.0
**80180-2;2016 W37;1.0;3.0;5.0;8.0
**80050-0;2016 W36;1.0;1.0;1.0;1.0
**80070-6;2016 W37;1.0;4.0;5.0;8.0
**80010-9;2016 W37;3.0;3.0;1.0;3.0
**80120-9;2016 W37;2.0;4.0;3.0;9.0
**80140-3;2016 W37;2.0;3.0;6.0;14.0
**80150-7;2016 W37;2.0;3.0;3.0;7.0
**80170-5;2016 W37;1.0;1.0;5.0;5.0
**80090-2;2016 W37;3.0;3.0;1.0;3.0
**80180-8;2016 W37;2.0;3.0;5.0;14.0
**80240-3;2016 W37;1.0;1.0;4.0;4.0
**80230-7;2016 W37;2.0;4.0;3.0;8.0
**80200-2;2016 W37;1.0;1.0;1.0;1.0
**80000-2;2016 W37;1.0;2.0;2.0;3.0
**80020-4;2016 W37;2.0;2.0;1.0;2.0
**80190-0;2016 W37;1.0;1.0;1.0;1.0
**80220-3;2016 W37;1.0;1.0;2.0;2.0
**80170-2;2016 W37;1.0;2.0;5.0;7.0
**80060-8;2016 W37;2.0;2.0;5.0;10.0
**80150-3;2016 W37;1.0;1.0;1.0;1.0
**80000-7;2016 W37;1.0;1.0;1.0;1.0
**80050-2;2016 W37;1.0;1.0;6.0;6.0
**80000-7;2016 W37;1.0;1.0;1.0;1.0
**80090-5;2016 W37;1.0;2.0;5.0;6.0
**80210-0;2016 W37;2.0;2.0;4.0;8.0
**80120-4;2016 W37;2.0;2.0;1.0;2.0
**80120-0;2016 W37;1.0;1.0;1.0;1.0
**80090-6;2016 W37;1.0;2.0;4.0;5.0
**80090-4;2016 W37;2.0;2.0;1.0;2.0
**80060-2;2016 W37;4.0;4.0;1.0;4.0
**80240-7;2016 W37;1.0;1.0;3.0;3.0
**80110-9;2016 W37;1.0;2.0;3.0;5.0
**80210-9;2016 W37;1.0;2.0;5.0;7.0
**80040-1;2016 W37;1.0;3.0;3.0;7.0
**80080-1;2016 W37;3.0;4.0;5.0;16.0
**80190-2;2016 W37;1.0;1.0;1.0;1.0
**80220-9;2016 W37;1.0;1.0;1.0;1.0
**80190-2;2016 W37;2.0;2.0;1.0;2.0
**80050-2;2016 W37;1.0;4.0;4.0;8.0
**80050-0;2016 W37;1.0;2.0;5.0;6.0
**80210-0;2016 W37;2.0;2.0;6.0;12.0
**80130-7;2016 W37;2.0;2.0;5.0;10.0
**80030-2;2016 W37;1.0;1.0;1.0;1.0
**80150-5;2016 W37;1.0;1.0;1.0;1.0
**80170-1;2016 W37;1.0;2.0;3.0;5.0
**80180-4;2016 W37;2.0;3.0;2.0;5.0
**80040-4;2016 W37;2.0;2.0;1.0;2.0
**80090-6;2016 W37;2.0;6.0;5.0;20.0
**80230-8;2016 W37;2.0;4.0;5.0;14.0
**80240-7;2016 W37;2.0;2.0;4.0;8.0
**80080-7;2016 W36;2.0;2.0;1.0;2.0
**80230-9;2016 W37;2.0;2.0;3.0;6.0
**80090-5;2016 W37;1.0;2.0;6.0;11.0
**80050-3;2016 W37;6.0;6.0;1.0;6.0
**80230-3;2016 W37;2.0;4.0;6.0;16.0
**80060-7;2016 W37;1.0;2.0;4.0;6.0
**80080-4;2016 W37;1.0;3.0;6.0;11.0
**80240-4;2016 W37;2.0;2.0;1.0;2.0
**80190-9;2016 W37;1.0;2.0;2.0;3.0
**80120-5;2016 W37;1.0;2.0;5.0;7.0
**80210-2;2016 W36;1.0;1.0;1.0;1.0
**80210-2;2016 W37;1.0;3.0;2.0;4.0
**80210-8;2016 W37;1.0;1.0;4.0;4.0
**80020-8;2016 W37;1.0;1.0;1.0;1.0
**80090-6;2016 W37;2.0;2.0;5.0;10.0
**80050-4;2016 W37;1.0;1.0;1.0;1.0
**80050-5;2016 W37;2.0;3.0;5.0;11.0
**80080-4;2016 W37;2.0;2.0;1.0;2.0
**80060-4;2016 W37;1.0;1.0;1.0;1.0
**80050-0;2016 W37;1.0;2.0;6.0;7.0
**80110-1;2016 W37;1.0;2.0;3.0;4.0
**80040-4;2016 W37;1.0;1.0;5.0;5.0
**80030-1;2016 W37;2.0;2.0;1.0;2.0
**80180-6;2016 W37;1.0;1.0;1.0;1.0
**80120-8;2016 W37;2.0;2.0;2.0;4.0
**80090-2;2016 W37;1.0;3.0;5.0;10.0
**80040-6;2016 W37;1.0;2.0;3.0;4.0
**80170-4;2016 W37;1.0;1.0;1.0;1.0
**80070-4;2016 W37;1.0;4.0;6.0;13.0
**80110-4;2016 W37;2.0;2.0;1.0;2.0
**80210-6;2016 W37;1.0;2.0;4.0;7.0
**80130-1;2016 W37;2.0;3.0;5.0;12.0
**80070-7;2016 W37;1.0;2.0;4.0;5.0
**80090-1;2016 W37;1.0;1.0;5.0;5.0
**80150-4;2016 W37;1.0;1.0;4.0;4.0
**80140-4;2016 W36;1.0;1.0;1.0;1.0
**80220-7;2016 W36;2.0;2.0;1.0;2.0
**80220-7;2016 W37;1.0;1.0;1.0;1.0
**80090-0;2016 W37;1.0;1.0;4.0;4.0
**80190-9;2016 W37;2.0;4.0;6.0;14.0
